keys,en,fr,es,pt,de,it,ru,tr,pl,id,vi,uk,el
Only one move here.,Only one move here.,Un seul coup possible.,Solo un movimiento posible.,Só há um lance aqui.,Nur ein Zug hier.,Qui c'è una sola mossa.,Здесь только один ход.,Burada tek bir hamle var.,Tu jest tylko jeden ruch.,Hanya ada satu langkah di sini.,Chỉ có một nước đi ở đây.,Тут лише один хід.,Μόνο μία κίνηση εδώ.
Face to Face,Face to Face,Face à face,Cara a cara,Frente a Frente,Zu zweit,Faccia a Faccia,Лицом к лицу,Yüz Yüze,Twarzą w twarz,Tatap Muka,Đối mặt,Віч-на-віч,Πρόσωπο με Πρόσωπο
Pick your opponent.,Pick your opponent.,Choisis ton adversaire.,Elige tu oponente.,Escolha seu adversário.,Wähle deinen Gegner.,Scegli il tuo avversario.,Выберите соперника.,Rakibini seç.,Wybierz przeciwnika.,Pilih lawanmu.,Chọn đối thủ của bạn.,Оберіть свого суперника.,Διάλεξε τον αντίπαλό σου.
Play,Play,Jouer,Jugar,Jogar,Spielen,Gioca,Играть,Oyna,Graj,Main,Chơi,Грати,Παίξε
Play again,Play again,Rejouer,Volver a jugar,Jogar de novo,Nochmal spielen,Gioca ancora,Играть снова,Tekrar oyna,Zagraj ponownie,Main lagi,Chơi lại,Грати ще,Παίξε ξανά
Plays for the fun of it.,Plays for the fun of it.,Joue pour le plaisir.,Juega por diversión.,Joga por diversão.,Spielt einfach aus Spaß.,Gioca per divertimento.,Играет ради удовольствия.,Sırf eğlencesine oynar.,Gra dla zabawy.,Bermain demi kesenangan.,Chơi cho vui thôi.,Грає заради задоволення.,Παίζει για τη διασκέδαση.
Premium,Premium,Premium,Premium,Premium,Premium,Premium,Премиум,Premium,Premium,Premium,Premium,Premium,Premium
Premium · ∞,Premium · ∞,Premium · ∞,Premium · ∞,Premium · ∞,Premium · ∞,Premium · ∞,Премиум · ∞,Premium · ∞,Premium · ∞,Premium · ∞,Premium · ∞,Premium · ∞,Premium · ∞
Quotes,Quotes,Citations,Citas,Citações,Zitate,Citazioni,Цитаты,Sözler,Cytaty,Kutipan,Danh ngôn,Цитати,Αποφθέγματα
Reading the position…,Reading the position…,Analyse de la position…,Analizando la posición…,Lendo a posição…,Liest die Stellung…,Lettura della posizione…,Изучаю позицию…,Pozisyon okunuyor…,Odczytywanie pozycji…,Membaca posisi…,Đang đọc thế cờ…,Читаю позицію…,Διαβάζει τη θέση…
Resign and end this game?,Resign and end this game?,Abandonner et terminer cette partie ?,¿Abandonar y terminar esta partida?,Abandonar e encerrar esta partida?,Aufgeben und Partie beenden?,Abbandonare e terminare la partita?,Сдаться и закончить партию?,Terk edip bu oyunu bitir?,Poddać się i zakończyć partię?,Menyerah dan akhiri permainan ini?,Đầu hàng và kết thúc ván này?,Здатися і завершити цю партію?,Εγκατάλειψη και τέλος παρτίδας;
Restart game,Restart game,Recommencer,Reiniciar,Reiniciar jogo,Partie neu starten,Ricomincia partita,Начать заново,Oyunu yeniden başlat,Zacznij od nowa,Mulai ulang permainan,Bắt đầu lại ván,Перезапустити гру,Επανεκκίνηση παιχνιδιού
Restart game?,Restart game?,Recommencer la partie ?,¿Reiniciar la partida?,Reiniciar jogo?,Partie neu starten?,Ricominciare la partita?,Начать заново?,Oyunu yeniden başlat?,Zacząć od nowa?,Mulai ulang permainan?,Bắt đầu lại ván?,Перезапустити гру?,Επανεκκίνηση παιχνιδιού;
Restore purchase,Restore purchase,Restaurer l'achat,Restaurar compra,Restaurar compra,Kauf wiederherstellen,Ripristina acquisto,Восстановить покупку,Satın almayı geri yükle,Przywróć zakup,Pulihkan pembelian,Khôi phục giao dịch mua,Відновити покупку,Αποκατάσταση αγοράς
Sees a few moves ahead. Patient.,Sees a few moves ahead. Patient.,Voit quelques coups d'avance. Patient.,Ve varios movimientos adelante. Paciente.,Enxerga alguns lances à frente. Paciente.,Sieht ein paar Züge voraus. Geduldig.,Vede qualche mossa in anticipo. Paziente.,Видит на несколько ходов вперёд. Терпеливый.,Birkaç hamle ileriyi görür. Sabırlı.,Widzi kilka ruchów naprzód. Cierpliwy.,Melihat beberapa langkah ke depan. Sabar.,Nhìn trước vài nước. Kiên nhẫn.,Бачить на кілька ходів уперед. Терплячий.,Βλέπει μερικές κινήσεις μπροστά. Υπομονετικός.
Setting up…,Setting up…,Préparation…,Preparando…,Preparando…,Wird vorbereitet…,Preparazione…,Подготовка…,Hazırlanıyor…,Przygotowywanie…,Menyiapkan…,Đang thiết lập…,Підготовка…,Προετοιμασία…
Settings,Settings,Paramètres,Ajustes,Configurações,Einstellungen,Impostazioni,Настройки,Ayarlar,Ustawienia,Pengaturan,Cài đặt,Налаштування,Ρυθμίσεις
Sly. Sets little traps.,Sly. Sets little traps.,Rusé. Pose de petits pièges.,Astuto. Tiende pequeñas trampas.,Astuto. Arma pequenas armadilhas.,Gerissen. Stellt kleine Fallen.,Furbo. Tende piccole trappole.,Хитрый. Расставляет ловушки.,Kurnaz. Küçük tuzaklar kurar.,Przebiegły. Zastawia małe pułapki.,Licik. Memasang jebakan kecil.,Ranh mãnh. Hay giăng bẫy nhỏ.,Хитрий. Ставить маленькі пастки.,Πονηρός. Στήνει μικρές παγίδες.
Solid. Punishes loose play.,Solid. Punishes loose play.,Solide. Punit le jeu approximatif.,Sólido. Castiga el juego descuidado.,Sólido. Pune o jogo descuidado.,Solide. Bestraft nachlässiges Spiel.,Solido. Punisce il gioco impreciso.,Надёжный. Наказывает за небрежную игру.,Sağlam. Özensiz oyunu cezalandırır.,Solidny. Karze za niedbałą grę.,Kokoh. Menghukum permainan ceroboh.,Vững vàng. Trừng phạt lối chơi lỏng lẻo.,Надійний. Карає за недбалу гру.,Σταθερός. Τιμωρεί το χαλαρό παιχνίδι.
Sound,Sound,Son,Sonido,Som,Ton,Suono,Звук,Ses,Dźwięk,Suara,Âm thanh,Звук,Ήχος
Sound: %s,Sound: %s,Son : %s,Sonido: %s,Som: %s,Ton: %s,Suono: %s,Звук: %s,Ses: %s,Dźwięk: %s,Suara: %s,Âm thanh: %s,Звук: %s,Ήχος: %s
Source & licenses,Source & licenses,Source & licences,Código fuente y licencias,Código-fonte e licenças,Quellcode & Lizenzen,Sorgente & licenze,Исходный код и лицензии,Kaynak & lisanslar,Źródło i licencje,Sumber & lisensi,Mã nguồn & giấy phép,Джерело та ліцензії,Πηγή & άδειες
Stalemate,Stalemate,Pat,Ahogado,Afogamento,Patt,Stallo,Пат,Pat,Pat,Stalemate,Hết nước đi,Пат,Πατ
Stalemate.,Stalemate.,Pat.,Ahogado.,Afogamento.,Patt.,Stallo.,Пат.,Pat.,Pat.,Stalemate.,Hết nước đi.,Пат.,Πατ.
Start over from a fresh position?,Start over from a fresh position?,Recommencer depuis une nouvelle position ?,¿Empezar desde una nueva posición?,Recomeçar de uma nova posição?,Von einer neuen Stellung neu beginnen?,Ricominciare da una nuova posizione?,Начать с новой позиции?,Yeni bir pozisyondan baştan başla?,Zacząć od nowa ze świeżej pozycji?,Mulai lagi dari posisi baru?,Bắt đầu lại từ thế cờ mới?,Почати заново з нової позиції?,Ξεκίνημα από μια νέα θέση;
Still learning the ropes.,Still learning the ropes.,Apprend encore les bases.,Todavía aprende lo básico.,Ainda pegando o jeito.,Lernt noch die Grundlagen.,Sta ancora imparando le basi.,Ещё осваивается.,Hâlâ işin inceliklerini öğreniyor.,Wciąż uczy się podstaw.,Masih belajar dasar-dasarnya.,Vẫn đang học việc.,Ще освоюється.,Μαθαίνει ακόμα τα βασικά.
Strong,Strong,Fort,Fuerte,Forte,Stark,Forte,Сильный,Güçlü,Silny,Kuat,Mạnh,Сильний,Δυνατός
THIS GAME,THIS GAME,CETTE PARTIE,ESTA PARTIDA,ESTA PARTIDA,DIESE PARTIE,QUESTA PARTITA,ЭТА ПАРТИЯ,BU OYUN,TA PARTIA,PERMAINAN INI,VÁN NÀY,ЦЯ ГРА,ΑΥΤΗ Η ΠΑΡΤΙΔΑ
The blunder! The best was %s.,The blunder! The best was %s.,Quelle gaffe ! Le meilleur était %s.,¡Un error grave! El mejor fue %s.,Um erro grave! O melhor era %s.,Der Patzer! Am besten war %s.,La svista! La migliore era %s.,Зевок! Лучшим ходом был %s.,Gaf! En iyisi %s idi.,To gafa! Najlepszy ruch to %s.,Itu blunder! Langkah terbaik adalah %s.,Nước hỏng! Tốt nhất là %s.,Зівок! Найкращим був %s.,Η γκάφα! Η καλύτερη ήταν η %s.
"The blunders are all there on the board, waiting to be made.","The blunders are all there on the board, waiting to be made.","Les gaffes sont toutes là sur l'échiquier, attendant d'être commises.","Los errores graves están todos ahí en el tablero, esperando ser cometidos.","Os erros graves estão todos ali no tabuleiro, esperando para serem cometidos.","Die Patzer liegen alle auf dem Brett und warten nur darauf, gemacht zu werden.","Gli errori gravi sono tutti lì sulla scacchiera, in attesa di essere commessi.","Все зевки уже на доске, ждут, чтобы их допустили.","Gafların hepsi tahtada, yapılmayı bekliyor.","Wszystkie gafy są na szachownicy i czekają, aż ktoś je popełni.","Semua blunder ada di papan, menunggu untuk dibuat.","Những nước hỏng đều nằm sẵn trên bàn cờ, chờ được phạm phải.","Усі зівки вже на дошці, чекають, щоб їх зробили.","Οι γκάφες είναι όλες εκεί στη σκακιέρα, περιμένοντας να γίνουν."
"The mistakes are there, waiting to be made.","The mistakes are there, waiting to be made.","Les erreurs sont là, attendant d'être commises.","Los errores están ahí, esperando ser cometidos.","Os erros estão ali, esperando para serem cometidos.","Die Fehler sind da und warten darauf, gemacht zu werden.","Gli errori sono lì, in attesa di essere commessi.","Ошибки уже на доске, ждут, чтобы их допустили.","Hatalar orada, yapılmayı bekliyor.","Błędy już tam są, czekają, aż ktoś je popełni.","Kesalahan sudah ada di sana, menunggu untuk dibuat.","Những sai lầm đều ở đó, chờ được phạm phải.","Помилки вже там, чекають, щоб їх зробили.","Τα λάθη είναι εκεί, περιμένοντας να γίνουν."
"The move is there, but you must see it.","The move is there, but you must see it.","Le coup est là, mais vous devez le voir.","El movimiento está ahí, pero debes verlo.","O lance está ali, mas você precisa vê-lo.","Der Zug ist da, aber du musst ihn sehen.","La mossa è lì, ma devi vederla.","Ход есть, но его нужно увидеть.","Hamle orada, ama onu görmelisin.","Ruch tam jest, ale musisz go dostrzec.","Langkahnya ada di sana, tapi kamu harus melihatnya.","Nước đi đã ở đó, nhưng bạn phải nhìn ra nó.","Хід уже є, але його треба побачити.","Η κίνηση είναι εκεί, αλλά πρέπει να τη δεις."
"The same position, three times over.","The same position, three times over.","La même position, trois fois de suite.","La misma posición, tres veces seguidas.","A mesma posição, três vezes.","Dieselbe Stellung, dreimal.","La stessa posizione, per tre volte.",Одна и та же позиция трижды.,"Aynı pozisyon, üç kez tekrar.","Ta sama pozycja, trzy razy z rzędu.","Posisi yang sama, terulang tiga kali.","Cùng một thế cờ, lặp lại ba lần.","Та сама позиція, тричі поспіль.","Η ίδια θέση, τρεις φορές."
The winner of the game is the player who makes the next-to-last mistake.,The winner of the game is the player who makes the next-to-last mistake.,Le gagnant de la partie est celui qui commet l'avant-dernière erreur.,El ganador de la partida es quien comete el penúltimo error.,O vencedor da partida é o jogador que comete o penúltimo erro.,"Sieger der Partie ist, wer den vorletzten Fehler macht.",Il vincitore della partita è il giocatore che commette il penultimo errore.,"Партию выигрывает тот, кто допускает предпоследнюю ошибку.","Oyunun galibi, sondan bir önceki hatayı yapan oyuncudur.","Zwycięzcą partii jest ten, kto popełnia przedostatni błąd.",Pemenang permainan adalah pemain yang membuat kesalahan kedua terakhir.,Người thắng ván cờ là người phạm sai lầm áp chót.,"Партію виграє той, хто робить передостанню помилку.",Νικητής της παρτίδας είναι ο παίκτης που κάνει το προτελευταίο λάθος.
Typeface,Typeface,Police de caractères,Tipografía,Fonte,Schriftart,Carattere,Шрифт,Yazı tipi,Krój pisma,Jenis huruf,Kiểu chữ,Шрифт,Γραμματοσειρά
Undo move,Undo move,Annuler le coup,Deshacer,Desfazer lance,Zug zurücknehmen,Annulla mossa,Отменить ход,Hamleyi geri al,Cofnij ruch,Batalkan langkah,Hoàn tác nước đi,Скасувати хід,Αναίρεση κίνησης
Unlock Premium  ·  $3.99,Unlock Premium  ·  $3.99,"Déverrouiller Premium  ·  $3,99","Desbloquear Premium  ·  $3,99",Desbloquear Premium  ·  $3.99,"Premium freischalten  ·  3,99 $",Sblocca Premium  ·  $3.99,Открыть Премиум  ·  $3.99,Premium'u aç  ·  $3.99,Odblokuj Premium  ·  $3.99,Buka Premium  ·  $3.99,Mở khóa Premium  ·  $3.99,Відкрити Premium  ·  $3.99,Ξεκλείδωσε το Premium  ·  $3.99
Unlock Premium  ·  %s,Unlock Premium  ·  %s,Déverrouiller Premium  ·  %s,Desbloquear Premium  ·  %s,Desbloquear Premium  ·  %s,Premium freischalten  ·  %s,Sblocca Premium  ·  %s,Открыть Премиум  ·  %s,Premium'u aç  ·  %s,Odblokuj Premium  ·  %s,Buka Premium  ·  %s,Mở khóa Premium  ·  %s,Відкрити Premium  ·  %s,Ξεκλείδωσε το Premium  ·  %s
Unlocked,Unlocked,Déverrouillé,Desbloqueado,Desbloqueado,Freigeschaltet,Sbloccato,Открыто,Kilidi açıldı,Odblokowano,Terbuka,Đã mở khóa,Відкрито,Ξεκλειδώθηκε
"When you see a good move, look for a better one.","When you see a good move, look for a better one.","Quand vous voyez un bon coup, cherchez un meilleur.","Cuando ves un buen movimiento, busca uno mejor.","Quando você vir um bom lance, procure um melhor.","Wenn du einen guten Zug siehst, suche nach einem besseren.","Quando vedi una buona mossa, cercane una migliore.","Когда видишь хороший ход, ищи ход получше.","İyi bir hamle gördüğünde, daha iyisini ara.","Gdy widzisz dobry ruch, szukaj lepszego.","Saat kamu melihat langkah bagus, carilah yang lebih baik.","Khi bạn thấy một nước đi hay, hãy tìm một nước hay hơn.","Коли бачиш хороший хід, шукай кращий.","Όταν βλέπεις μια καλή κίνηση, ψάξε για μια καλύτερη."
White,White,Blancs,Blancas,Brancas,Weiß,Bianco,Белые,Beyaz,Białe,Putih,Trắng,Білі,Λευκά
White to move,White to move,Aux blancs de jouer,Juegan las blancas,Vez das brancas,Weiß am Zug,Muove il Bianco,Ход белых,Sıra beyazda,Ruch białych,Giliran Putih,Trắng đi,Хід білих,Παίζουν τα λευκά
Black to move,Black to move,Aux noirs de jouer,Juegan las negras,Vez das pretas,Schwarz am Zug,Muove il Nero,Ход чёрных,Sıra siyahta,Ruch czarnych,Giliran Hitam,Đen đi,Хід чорних,Παίζουν τα μαύρα
You gave up,You gave up,Tu as abandonné,Abandonaste,Você desistiu,Du hast aufgegeben,Hai abbandonato,Вы сдались,Pes ettin,Poddałeś się,Kamu menyerah,Bạn đã đầu hàng,Ви здалися,Εγκατέλειψες
You win!,You win!,Tu as gagné !,¡Ganaste!,Você venceu!,Du gewinnst!,Hai vinto!,Вы победили!,Kazandın!,Wygrywasz!,Kamu menang!,Bạn thắng!,Ви перемогли!,Νίκησες!
"Your move, find the best!","Your move, find the best!","À toi, trouve le meilleur coup !","Tu turno, ¡encuentra el mejor!","Sua vez, encontre o melhor!","Du bist am Zug, finde den besten!","Tocca a te, trova la migliore!","Ваш ход, найдите лучший!","Sıra sende, en iyisini bul!","Twój ruch, znajdź najlepszy!","Giliranmu, temukan langkah terbaik!","Đến lượt bạn, tìm nước tốt nhất!","Ваш хід, знайдіть найкращий!","Η σειρά σου, βρες την καλύτερη!"
